ABV,BIDEN,TRUMP,TotalVotes
AK,"153,778","189,951","343,729"
AL,"849,624","1,441,170","2,290,794"
AR,"423,932","760,647","1,184,579"
AS,0,0,0
AZ,"1,672,143","1,661,686","3,333,829"
CA,"11,110,250","6,006,429","17,116,679"
CO,"1,804,352","1,364,607","3,168,959"
CT,"1,080,831","714,717","1,795,548"
DC,0,0,0
DE,"296,268","200,603","496,871"
FL,"5,297,045","5,668,731","10,965,776"
GA,"2,473,633","2,461,854","4,935,487"
GU,0,0,0
HI,"366,130","196,864","562,994"
IA,"759,061","897,672","1,656,733"
ID,"287,021","554,119","841,140"
IL,"3,471,915","2,446,891","5,918,806"
IN,"1,242,416","1,729,519","2,971,935"
KS,"570,323","771,406","1,341,729"
KY,"772,474","1,326,646","2,099,120"
LA,"856,034","1,255,776","2,111,810"
MA,"2,382,202","1,167,202","3,549,404"
MD,"1,985,023","976,414","2,961,437"
ME,"435,072","360,737","795,809"
MI,"2,804,040","2,649,852","5,453,892"
MN,"1,717,077","1,484,065","3,201,142"
MO,"1,253,014","1,718,736","2,971,750"
MS,"539,398","756,764","1,296,162"
MT,"244,786","343,602","588,388"
NC,"2,684,292","2,758,775","5,443,067"
ND,"114,902","235,595","350,497"
NE,"374,583","556,846","931,429"
NH,"424,937","365,660","790,597"
NI,0,0,0
NJ,"2,608,335","1,883,274","4,491,609"
NM,"501,614","401,894","903,508"
NV,"703,486","669,890","1,373,376"
NY,"5,230,985","3,244,798","8,475,783"
OH,"2,679,165","3,154,834","5,833,999"
OK,"503,890","1,020,280","1,524,170"
OR,"1,340,383","958,448","2,298,831"
PA,"3,458,229","3,377,674","6,835,903"
PR,0,0,0
RI,"307,486","199,922","507,408"
SC,"1,091,541","1,385,103","2,476,644"
SD,"150,471","261,043","411,514"
TN,"1,143,711","1,852,475","2,996,186"
TX,"5,259,126","5,890,347","11,149,473"
UT,"560,282","865,140","1,425,422"
VA,"2,413,568","1,962,430","4,375,998"
VI,0,0,0
VT,"242,820","112,704","355,524"
WA,"2,369,612","1,584,651","3,954,263"
WI,"1,630,866","1,610,184","3,241,050"
WV,"235,984","545,382","781,366"
WY,"73,491","193,559","267,050"
,,,
